date,cpi_yoy_nfne,wui_lag_4,wui_lag_2,cpi_rolling_12q,wui_rolling_12q,shock_gfc,shock_covid
2013-07-01,7.098772666666666,25945.24,31598.92,6.742226722222221,21979.635833333334,0,0
2013-10-01,7.466408333333334,38752.27,14113.9,6.9417170555555545,22278.833333333332,0,0
2014-01-01,7.737411666666667,31598.92,15802.53,7.2811785,22790.419166666663,0,0
2014-04-01,8.965681666666667,14113.9,18492.01,7.651603722222223,23287.510833333334,0,0
2014-07-01,9.048163333333331,15802.53,19536.86,7.901861749999999,22786.146666666667,0,0
2014-10-01,8.675144,18492.01,20086.1,7.841181611111111,22604.066666666666,0,0
2015-01-01,7.778061,19536.86,14211.19,7.691732055555556,23538.093333333334,0,0
2015-04-01,7.485695333333333,20086.1,17252.02,7.547044694444444,22582.498333333333,0,0
2015-07-01,7.7808883333333325,14211.19,29838.2,7.515310888888888,22193.767499999998,0,0
2015-10-01,9.197724333333332,17252.02,25360.74,7.822878944444444,20507.57,0,0
2016-01-01,9.897421666666666,29838.2,21280.47,8.106988333333332,19776.5,0,0
2016-04-01,9.274595666666668,25360.74,18517.9,8.367164,20143.109166666665,0,0
2016-07-01,9.469746333333331,21280.47,22826.08,8.564745138888888,21341.4225,0,0
2016-10-01,8.751295333333333,18517.9,18513.21,8.671819055555556,22469.69666666667,0,0
2017-01-01,10.074811333333331,22826.08,30182.29,8.866602361111111,23334.134166666667,0,0
2017-04-01,10.626933333333334,18513.21,32031.3,9.00504,23036.48833333333,0,0
2017-07-01,10.479393333333334,30182.29,29910.11,9.124309166666666,23212.69,0,0
2017-10-01,11.860933333333334,32031.3,16514.35,9.38979161111111,24141.40166666667,0,0
2018-01-01,10.738633333333333,29910.11,16325.61,9.636505972222222,22790.065,0,0
2018-04-01,12.200833333333334,16514.35,28396.56,10.029434138888888,22814.439166666667,0,0
2018-07-01,17.6604,16325.61,13622.16,10.852726777777777,23433.63,0,0
2018-10-01,20.01156,28396.56,25653.23,11.753879750000001,24094.059166666662,0,0
2019-01-01,16.834783333333334,13622.16,28710.76,12.331993222222222,25240.8875,0,0
2019-04-01,15.409066666666666,25653.23,26443.05,12.843199138888886,27072.206666666665,0,0
2019-07-01,13.457816333333334,28710.76,36588.02,13.175538305555555,27290.430833333336,0,0
